date,domain,weight,period,period_start,period_end
20220528,A,0,202205,20220501,20220531
20220529,A,0,202205,20220501,20220531
20220530,A,0.2,202205,20220501,20220531
20220531,A,0.2,202205,20220501,20220531
20220601,A,0.2,202206,20220601,20220630
20220602,A,0.2,202206,20220601,20220630
20220603,A,0.2,202206,20220601,20220630
20220604,A,0,202206,20220601,20220630
20220605,A,0,202206,20220601,20220630
20220606,A,0.2,202206,20220601,20220630
20220607,A,0.2,202206,20220601,20220630
20220608,A,0.2,202206,20220601,20220630
20220609,A,0.2,202206,20220601,20220630
20220610,A,0.2,202206,20220601,20220630
20220611,A,0,202206,20220601,20220630
20220612,A,0,202206,20220601,20220630
20220613,A,0.2,202206,20220601,20220630
20220614,A,0.2,202206,20220601,20220630
20220615,A,0.2,202206,20220601,20220630
20220616,A,0.2,202206,20220601,20220630
20220617,A,0.2,202206,20220601,20220630
20220618,A,0,202206,20220601,20220630
20220619,A,0,202206,20220601,20220630
20220620,A,0.2,202206,20220601,20220630
20220621,A,0.2,202206,20220601,20220630
20220622,A,0.2,202206,20220601,20220630
20220623,A,0.2,202206,20220601,20220630
20220624,A,0.2,202206,20220601,20220630
20220625,A,0,202206,20220601,20220630
20220626,A,0,202206,20220601,20220630
20220627,A,0.2,202206,20220601,20220630
20220628,A,0.2,202206,20220601,20220630
20220629,A,0.2,202206,20220601,20220630
20220630,A,0.2,202206,20220601,20220630
20220701,A,0.2,202207,20220701,20220731
20220702,A,0,202207,20220701,20220731
20220703,A,0,202207,20220701,20220731
20220704,A,0.2,202207,20220701,20220731